챔프커피 제3작업실,커피전문점,4.1,41건,312,서울 중구 을지로 157 대림상가 라열 3층 381호
청수당,카페,3.8,54건,337,서울 종로구 돈화문로11나길 31-9
오랑지,카페,4.7,65건,260,서울 마포구 동교로38길 13 2층
C27 가로수길본점,디저트카페,3.7,160건,359,서울 강남구 도산대로15길 39
앤디스커피,카페,3.6,20건,55,서울 마포구 와우산로35길 75 2층
더로열푸드앤드링크,카페,3.0,48건,209,서울 용산구 신흥로20길 37 1층
태양커피,커피전문점,4.3,89건,309,서울 서초구 서초대로25길 55 1층
더하우스1932,카페,3.8,24건,147,서울 중구 만리재로35길 7
앤트러사이트 합정점,커피전문점,3.7,237건,264,서울 마포구 토정로5길 10
새들러하우스,디저트카페,3.6,85건,36,서울 강남구 도산대로17길 10 지하 1층
챔프커피 2작업실,커피전문점,3.7,74건,204,서울 용산구 녹사평대로26가길 24 1층
테일러커피 연남1호점,커피전문점,3.8,68건,195,서울 마포구 성미산로 189 1층
커피가게동경,커피전문점,3.6,125건,250,서울 마포구 망원로6길 21 지하
마호가니커피 여의도점,카페,3.3,34건,192,서울 영등포구 여의대로 66 KTB빌딩 1층
우디집,카페,3.8,30건,297,서울 성동구 둘레9길 17 2층
브런치가,카페,2.9,56건,225,서울 마포구 월드컵북로4길 39
카페아르크,카페,3.8,23건,146,서울 종로구 인왕산로 3 위쿡 1층
커피리브레 연남점,커피전문점,3.2,239건,107,서울 마포구 성미산로 200
카페써드,커피전문점,3.8,8건,98,서울 강남구 선릉로131길 11 1층
앤트러사이트 한남점,카페,3.7,101건,179,서울 용산구 이태원로 240 1~3층
카페밤비,디저트카페,3.1,19건,99,서울 마포구 동교로9길 36 1층
레이어드,카페,3.1,157건,814,서울 종로구 북촌로2길 2-3
브랜뉴하이몬드,디저트카페,2.9,28건,200,"서울 강동구 천호옛14길 11 1,2층"
소진담 신사점,카페,4.0,73건,216,"서울 강남구 논현로161길 51 1, 지하1층"
카페토다,카페,4.0,57건,106,서울 서초구 성촌6길 39
인더매스 마장,카페,4.3,39건,274,서울 성동구 마장로 270
카페스콘,카페,3.4,42건,467,서울 마포구 성미산로 172
뉴질랜드스토리,카페,3.8,81건,191,서울 송파구 석촌호수로 268 경남레이크파크 1층
차 성수점,카페,2.6,58건,148,서울 성동구 서울숲6길 2 1층
오츠커피,카페,4.4,50건,172,서울 용산구 원효로89길 13-12
얼스어스,카페,3.9,76건,302,서울 마포구 성미산로 150
테일러커피 서교점,커피전문점,4.2,132건,122,서울 마포구 와우산로27길 7 2층
카페드레이프,카페,3.3,27건,217,서울 영등포구 양산로 146
더스팟 패뷸러스,디저트카페,3.6,44건,464,서울 중구 명동2길 22
멜로워 성수플래그쉽,카페,4.0,54건,316,서울 성동구 성수이로7길 39
10꼬르소꼬모카페,테마카페,3.2,59건,132,서울 강남구 압구정로 416 더트리니티빌딩 지하1층
톤앤매너,카페,4.4,20건,27,서울 마포구 와우산로29가길 13 1층
서울리즘,커피전문점,2.3,60건,346,"서울 송파구 백제고분로 435 예스빌딩 1,6층"
루소랩 정동점,카페,4.3,75건,115,서울 중구 정동길 17 이화정동빌딩
1984,북카페,3.7,51건,445,서울 마포구 동교로 194 혜원빌딩 1층
벨라스가든,카페,3.8,33건,169,서울 송파구 백제고분로41길 42-19
작당모의,카페,3.1,67건,313,서울 마포구 동교로32길 19 1층
아우어베이커리 싸이더스점,디저트카페,4.0,22건,164,서울 강남구 선릉로 629 A동 1층 101호
달링키친,카페,3.7,26건,174,서울 강남구 언주로126길 25
트래버틴,커피전문점,3.3,31건,149,서울 용산구 한강대로7길 18-7
뚝방길홍차가게,카페,4.5,46건,154,서울 광진구 자양강변길 277 1층
매뉴팩트커피 연희본점,카페,4.4,92건,124,서울 서대문구 연희로11길 29
에잇디,카페,3.4,35건,238,서울 강남구 선릉로153길 37 1층
동작노을카페,카페,3.2,43건,73,"서울 동작구 동작대로 335 3,4층"
오리지널 팬케익하우스 이태원점,,3.2,49건,112,서울 용산구 이태원로 153 덕흥빌딩 1층
펠트커피 도산공원점,카페,3.7,48건,101,서울 강남구 언주로164길 23
바캉스커피,카페,3.3,23건,282,서울 중구 남대문로9길 12 9층
나무사이로,커피전문점,3.8,106건,133,서울 종로구 사직로8길 21
개뿔,갤러리카페,3.9,43건,162,서울 종로구 낙산성곽서1길 26 1~2층
홍만당 명동본점,디저트카페,3.7,18건,229,서울 중구 명동8길 11-6 1층
오린지,디저트카페,3.9,41건,175,서울 송파구 송파대로48길 19 1층
센터커피 서울숲점,커피전문점,3.7,51건,97,서울 성동구 서울숲2길 28-11 1층
껠끄쇼즈,디저트카페,4.6,38건,107,서울 강남구 도곡로70길 5
빈브라더스 합정점,커피전문점,4.2,95건,139,서울 마포구 토정로 35-1
더파이홀,디저트카페,3.9,120건,200,서울 서대문구 연세로5나길 20
프로퍼커피바,카페,3.4,57건,261,서울 송파구 위례성대로22길 6 유진빌딩 1층
모아새,디저트카페,3.6,35건,75,서울 마포구 포은로 71 1층
카몽,디저트카페,4.6,48건,81,서울 서초구 서초대로42길 17 1층
빵어니스타 압구정점,디저트카페,3.5,24건,90,서울 강남구 도산대로25길 43 1층
학림다방,다방,3.8,143건,217,서울 종로구 대학로 119 2층
루프탑카페 연무장,커피전문점,3.6,25건,200,서울 성동구 연무장길 36 쏘비트타워 8층
밤부베이커리&브루잉,디저트카페,3.6,57건,344,서울 마포구 월드컵로5길 33-23
카페요호,카페,4.0,43건,132,서울 마포구 잔다리로 88 1층
동백양과점 익선점,커피전문점,2.3,73건,482,서울 종로구 수표로28길 17-24
아르무아,카페,3.6,36건,222,서울 광진구 동일로22길 117-27 1~2층
시루케이크,떡카페,4.5,30건,113,서울 마포구 와우산로1길 4
콩카페 연남점,카페,3.6,68건,485,서울 마포구 성미산로 161-14 1층
메쉬커피,커피전문점,3.7,74건,86,서울 성동구 서울숲길 43
도봉관,디저트카페,3.9,35건,128,서울 도봉구 노해로 261 1층
고센,카페,3.0,83건,100,서울 강남구 선릉로158길 18
페어,카페,3.4,37건,225,서울 마포구 잔다리로7안길 23 1층
올모스트홈카페 아트선재센터점,카페,3.0,36건,275,서울 종로구 소격동 144-2
겟썸커피,커피전문점,3.7,43건,209,서울 강남구 봉은사로6길 30 지하1층
카멜 성수점,카페,3.6,48건,150,서울 성동구 성덕정19길 6
뷰클랜드,카페,4.4,52건,307,서울 송파구 백제고분로43길 10 1층
트리아농,디저트카페,3.4,37건,203,서울 강남구 학동로59길 43
카페진정성 여의도점,카페,3.3,50건,108,서울 영등포구 국제금융로8길 31 SK증권빌딩 1층
타르타르 강남역점,디저트카페,4.1,27건,392,서울 서초구 강남대로61길 13 1층
빌리프커피로스터스,커피전문점,3.4,100건,198,서울 마포구 양화로11길 50 1층
카페성수,커피전문점,3.1,47건,122,서울 성동구 서울숲4길 13
인왕산 대충유원지,카페,3.6,42건,159,서울 종로구 필운대로 46 무목적빌딩 4층
섬광,카페,3.4,35건,233,서울 중구 창경궁로1길 38
하이웨스트 익선,카페,3.0,27건,397,서울 종로구 돈화문로11다길 18
밀크홀1937 종로점,카페,4.0,38건,168,서울 종로구 종로 86-1
랑데자뷰 서교점,카페,4.1,45건,595,서울 마포구 월드컵북로5길 53
젠젠 잠실점,디저트카페,3.3,48건,247,서울 송파구 백제고분로45길 34 동방빌딩 2층
비라티오 홍대점,커피전문점,4.0,36건,175,"서울 마포구 잔다리로 28 1,2층"
르솔레이,디저트카페,4.5,51건,84,서울 서대문구 연희맛로 7-29
앙떼띠 잠실점,디저트카페,3.9,26건,63,"서울 송파구 올림픽로 342 형인타워 1, 2층"
서정적살롱,카페,2.2,36건,130,서울 송파구 석촌호수로 274
로우커피스탠드,커피전문점,4.5,61건,159,서울 성동구 왕십리로4길 28-2 1층
테라로사 한남점,커피전문점,4.0,19건,72,"서울 용산구 이태원로36길 15 지하1,2층"
내자상회,카페,4.0,44건,220,서울 종로구 사직로10길 3 1층
카페로비,디저트카페,4.0,24건,146,서울 서초구 반포대로20길 53 1층
파넬카페,카페,3.5,33건,169,서울 강남구 언주로164길 14
마일스톤커피,카페,4.2,72건,237,서울 강남구 논현로159길 49
카페어니언 미아점,카페,4.2,34건,147,서울 강북구 솔매로50길 55 1층
카페솔트,카페,4.0,31건,164,서울 영등포구 도림로133길 12 1층
메이비,카페,3.4,133건,106,서울 구로구 디지털로32나길 51
카페피크닉,카페,2.8,13건,148,서울 중구 퇴계로6가길 30 1층 102호
SM타운카페,카페,3.8,5건,28,서울 강남구 삼성로 648 SM커뮤니케이션센터 1층
사생활,카페,4.2,31건,143,서울 관악구 신사로14길 19 지하1층
카페우드진,카페,3.8,16건,105,서울 강서구 마곡중앙6로 45 리더스퀘어 1층 113호
써머레인,디저트카페,3.6,65건,29,서울 용산구 이태원로55가길 49 1층
데칸트,카페,3.1,25건,187,서울 강남구 압구정로72길 10 2층
어나더룸 연남,카페,4.0,35건,154,서울 마포구 성미산로29안길 19-4 1층
페니힐스,커피전문점,3.6,55건,119,서울 동작구 동작대로1길 10-14 1층
카페퍼블리코 본점,카페,3.6,23건,63,"서울 동작구 상도로 47 헬로우빌딩 1,2층"
맷카페,카페,4.1,41건,105,서울 강남구 학동로50길 42 1층
뚜스뚜스 등촌점,카페,3.0,39건,58,서울 강서구 공항대로45길 92 1층
카페블라썸 강남점,카페,3.5,35건,405,서울 강남구 강남대로102길 25
마얘,디저트카페,3.4,103건,238,서울 서초구 사평대로22길 14 1층
세시셀라 도산공원점,디저트카페,3.8,90건,191,서울 강남구 도산대로45길 10-4 삼경빌딩 1층
H라운지,카페,2.7,9건,171,서울 종로구 자하문로4길 21-9
세드라,디저트카페,3.6,31건,77,서울 강남구 역삼로67길 15 샬롬빌 1층 101호
러시아케익,디저트카페,4.7,86건,103,서울 중구 을지로42길 7
부빙,카페,4.0,71건,142,서울 종로구 창의문로 136
감각,카페,3.3,18건,176,서울 노원구 상계로 77 1층
더플레이트디저트 더현대서울점,디저트카페,3.2,11건,87,서울 영등포구 여의대로 108 지하 1층 식품관
딥블루레이크 커피로스터스,커피전문점,4.2,91건,146,서울 마포구 포은로6길 11
수연산방,전통찻집,3.5,228건,152,서울 성북구 성북로26길 8
스웨이커피스테이션,카페,4.3,29건,114,서울 서대문구 연희로11길 61
헤이보울,카페,4.4,43건,195,서울 성동구 성수이로7가길 13 1층
로우키,카페,4.6,58건,146,서울 성동구 연무장3길 6
데얼커피,커피전문점,4.0,16건,169,서울 마포구 연남로3길 23 지하1층
도렐 육지3호점,카페,2.7,32건,234,서울 성동구 연무장7길 11 1층
해로커피,커피전문점,4.3,37건,105,서울 성북구 성북로 19-3 1층
버터풀&크리멀러스,디저트카페,4.2,19건,191,서울 강남구 언주로172길 59 삼두빌딩 1층
피클피클,카페,3.3,32건,168,서울 용산구 신흥로 95
이브닝블루,디저트카페,4.5,10건,56,서울 강남구 봉은사로33길 7 1층
피그인더가든 여의도점,카페,3.1,39건,156,서울 영등포구 여의대로 56 한화투자증권빌딩 1층
키에리 이태원점,디저트카페,1.8,160건,199,서울 용산구 이태원로26길 16-8 1층
오르에르,디저트카페,3.2,92건,131,서울 성동구 연무장길 18
뚜스뚜스베이커리카페 선유도점,디저트카페,3.4,39건,85,서울 영등포구 양평로 132 1층
언더야드,커피전문점,4.0,20건,152,서울 용산구 한남대로27가길 26
고양이똥 3호점,카페,3.5,17건,77,서울 강서구 공항대로45길 30 1층
더피터커피,카페,3.8,30건,204,서울 중구 퇴계로 411
콜린,테마카페,3.7,46건,280,"서울 마포구 어울마당로 45 1,2층"
라크라센타 문래본점,카페,3.4,52건,128,서울 영등포구 문래로 92-5
인바이티드,카페,3.5,20건,109,서울 용산구 한강대로52길 41
도우터,카페,4.1,19건,211,서울 광진구 아차산로31길 40
수잔나의앞치마,카페,3.0,38건,201,서울 중구 퇴계로49길 24
기욤 청담점,디저트카페,3.3,63건,207,서울 강남구 선릉로152길 17
키쉬미뇽,카페,3.2,49건,290,서울 마포구 양화로6길 35
아베크엘카페,카페,4.2,55건,166,서울 용산구 두텁바위로69길 29
민트하임,디저트카페,3.9,31건,107,서울 마포구 잔다리로6길 28
카페마마스 센터원점,카페,3.3,195건,87,서울 중구 을지로5길 26 센터원빌딩 1층
미엘,갤러리카페,3.3,78건,98,서울 강남구 도산대로67길 13-12 퍼즐하우스 1층
갈십리,디저트카페,4.0,22건,210,"서울 성동구 마조로 15-11 1, 2층"
마뫼,카페,3.3,30건,133,서울 중구 소파로 41
공상온도,카페,4.1,14건,133,서울 마포구 동교로23길 40 지하 1층
커피스니퍼,카페,4.5,57건,109,서울 중구 세종대로16길 27 남양빌딩 1층 102호
발루토,카페,3.6,48건,86,서울 관악구 신림로23길 28 1층
슈퍼말차 성수,카페,3.8,36건,140,서울 성동구 서울숲6길 19
카페키이로,커피전문점,4.3,31건,127,서울 종로구 창경궁로26길 41-3 2층
체다앤올리,카페,3.5,27건,222,서울 성동구 서울숲2길 32-14 1층
오아시스 한남점,디저트카페,3.0,26건,255,"서울 용산구 이태원로45길 30 1,2층"
시즌커피앤베이크,카페,4.1,41건,169,서울 영등포구 양산로9길 12-1
자그마치,커피전문점,3.1,87건,200,서울 성동구 성수이로 88 남정빌딩 1층
빌리엔젤 강남역점,디저트카페,3.1,46건,184,서울 강남구 테헤란로1길 48 강남ELS빌딩 1층
비트포비아 던전홍대점,테마카페,4.1,12건,104,서울 마포구 독막로3길 30
황홀경,디저트카페,3.4,52건,310,서울 관악구 관악로14길 37 지하1층
베러댄,카페,3.9,11건,88,서울 동대문구 망우로 34 진성빌딩 1층
가배도 신논현점,카페,3.2,51건,357,"서울 강남구 강남대로110길 13 2,3층"
세녹,카페,2.8,53건,127,서울 동작구 사당로 304
노맨틱,카페,4.6,25건,176,서울 용산구 두텁바위로 59-1 2층
앤아더,카페,2.7,39건,207,서울 성동구 서울숲2길 40-10
오츠에스프레소,커피전문점,4.3,66건,245,서울 마포구 독막로14길 32 지하 1층
카페뎀셀브즈 종로점,카페,3.2,241건,158,서울 종로구 삼일대로 388 1~3층
크리에잇쿠키 역삼점,디저트카페,4.0,21건,187,서울 강남구 테헤란로25길 36 2층
바이산,카페,3.0,45건,263,서울 성동구 성수이로 78
르쁘띠푸 홍대본점,디저트카페,3.4,104건,233,서울 마포구 와우산로 62 삼애빌딩 2층
알렉스더커피 성북점,커피전문점,3.5,42건,95,서울 성북구 성북로28길 9
클라우즈비,카페,3.4,32건,114,서울 강남구 논현로28길 10 제이제이빌딩 1층
쿠오레에스프레소,커피전문점,3.5,51건,330,서울 서초구 강남대로 275 1층 101호
그레도,카페,3.8,19건,153,서울 성북구 화랑로 304 1층
룸서비스301,카페,2.0,25건,194,서울 강남구 양재천로 193 3층 301호
롱브레드 은평한옥마을점,테마카페,2.8,30건,127,"서울 은평구 연서로 530 1, 2층"
피크니크,카페,4.2,32건,205,서울 영등포구 양평로22길 2-1
그레이랩,카페,3.7,36건,133,서울 마포구 토정로3길 16
모두막,테마카페,1.3,44건,58,서울 마포구 와우산로29바길 11-4 2층
고르드,디저트카페,2.8,75건,199,서울 서대문구 연세로 32 1~4층
다노이 선릉점,카페,4.0,5건,29,서울 강남구 테헤란로57길 17
모멘토브루어스,카페,4.4,79건,112,서울 성동구 서울숲2길 19-18 1층
카페포제,카페,3.4,50건,198,서울 성동구 연무장9길 7
제이히든하우스,카페,2.8,12건,123,서울 종로구 종로 269-4 1층
동빙고,카페,3.8,326건,133,서울 용산구 이촌로 319
호텔세느장,디저트카페,2.0,59건,378,서울 종로구 돈화문로11길 28-5
글로우,카페,3.6,32건,211,서울 성동구 아차산로9길 20 1층
버터북,디저트카페,3.0,11건,139,서울 용산구 신흥로15길 20
레어마카롱 잠실점,디저트카페,4.6,90건,286,서울 송파구 오금로 126
페더커피,카페,4.9,33건,149,서울 강동구 진황도로 123 1층 101호
커피몽타주,커피전문점,4.2,46건,87,서울 강동구 올림픽로48길 23-12 1층
차마시는뜰,전통찻집,4.1,110건,105,서울 종로구 북촌로11나길 26
가비터,카페,3.5,28건,382,서울 강남구 강남대로106길 29 지하1층
그레인,카페,4.3,46건,149,서울 마포구 동교로46길 23
헬무트커피로스터스,카페,3.2,21건,60,서울 서초구 방배천로6길 3-10
웻커피 신사점,카페,3.1,19건,162,서울 강남구 강남대로162길 18
클럽에스프레소,커피전문점,3.4,158건,95,서울 종로구 창의문로 132
콩카페 이태원점,카페,4.3,33건,174,"서울 용산구 녹사평대로 168-8 1,2층"
시드누아 노원본점,커피전문점,3.3,54건,154,서울 노원구 상계로 84
로얄마카롱,디저트카페,4.3,33건,75,서울 강남구 테헤란로25길 26 3층
행화탕,테마카페,4.0,30건,39,서울 마포구 마포대로19길 12
카페 지금여기,카페,3.5,11건,17,서울 마포구 양화로16길 30-5 3층
스탬프커피,카페,2.6,38건,414,"서울 마포구 성미산로 161-7 1,2층"
키커피컴퍼니,카페,3.7,20건,173,서울 성동구 왕십리로 269
챔프커피 1작업실,커피전문점,2.0,42건,39,서울 용산구 우사단로10길 121 1층
프레스,커피전문점,3.4,26건,50,서울 송파구 백제고분로45길 17-3 4층
태양커피 홍대점,커피전문점,4.2,32건,60,서울 마포구 어울마당로 100-12 1층
