서관면옥,냉면,3.9,101건,233,서울 서초구 서초대로56길 11 1층
오스테리아오르조 한남,"스테이크,립",4.2,81건,348,서울 용산구 한남대로20길 47 2층
1인1잔,카페,3.7,52건,471,"서울 은평구 연서로 534 1,2층"
어니언 안국점,카페,2.8,104건,"1,068",서울 종로구 계동길 5
카덴 연희본점,일식,3.4,121건,174,서울 서대문구 연희로 173 거화빌딩 1층
호랑이,카페,3.2,142건,770,서울 중구 을지로 157 대림상가 3층 라열 351호
미쁘동,일식,3.8,98건,359,서울 마포구 동교로38길 33-21 2층
오장동흥남집 본점,냉면,3.6,303건,241,서울 중구 마른내로 114
라라브레드 송파점,디저트카페,3.9,136건,636,서울 송파구 오금로16길 4
어거스트힐,이탈리안,4.3,66건,371,서울 강남구 강남대로106길 25 1층
아이오유,이탈리안,3.3,44건,227,서울 용산구 원효로1길 16
광화문미진 본점,국수,3.2,459건,441,서울 종로구 종로 19 르메이에르 종로타운 1층
어머니대성집,해장국,3.7,149건,203,서울 동대문구 용두동 232-24
소이연남,동남아음식,3.9,305건,625,서울 마포구 동교로 267
연남토마 본점,일식,3.5,66건,242,서울 마포구 월드컵북로6길 61
목멱산방,한식,3.4,266건,401,서울 중구 퇴계로20길 71 1층
땀땀,베트남음식,3.3,179건,"2,346",서울 강남구 강남대로98길 12-5
원조만선호프 노가리체인본점,"호프,요리주점",2.1,236건,914,서울 중구 을지로13길 19 1층
새벽집 청담점,"육류,고기",3.4,492건,176,서울 강남구 도산대로101길 6
보니스피자펍,피자,4.0,281건,497,서울 용산구 신흥로3길 2
진작,퓨전일식,3.6,73건,334,서울 중구 수표로12길 12 1층
악어떡볶이,떡볶이,3.5,104건,223,서울 성동구 마조로 33
삼청동수제비,수제비,2.9,458건,476,서울 종로구 삼청로 101-1
태극당,"제과,베이커리",3.3,270건,505,서울 중구 동호로24길 7
텍사스데브라질 센트럴시티점,"스테이크,립",3.2,72건,234,서울 서초구 사평대로 205 BP 4-5 파미에가든 4층
경양카츠,"돈까스,우동",4.1,88건,"1,094",서울 종로구 수표로28길 15
